Flight Mode  Waypoint Num.     GPS Second       Latitude      Longitude       Altitude
          0              0     1220405825              0              0              0
          0              0     1220405826              0              0              0
          0              0     1220405827              0              0              0
          0              0     1220405828              0              0              0
          0              0     1220405829              0              0              0
          0              0     1220405830              0              0              0
          0              0     1220405831              0              0              0
          0              0     1220405832              0              0              0
          0              0     1220405833              0              0              0
          0              0     1220405834              0              0              0
          0              0     1220405834              0              0              0
          0              0     1220405835              0              0              0
          0              0     1220405836              0              0              0
          0              0     1220405837              0              0              0
          0              0     1220405838        37.1712        128.472        224.942
          0              0     1220405839        37.1712        128.472        225.162
          0              0     1220405840        37.1712        128.472        225.162
          0              0     1220405840        37.1712        128.472        225.114
          0              0     1220405841        37.1712        128.472        224.693
          0              0     1220405842        37.1712        128.472        224.722
          0              0     1220405843        37.1712        128.472        224.722
          0              0     1220405843        37.1712        128.472        225.047
          0              0     1220405844        37.1712        128.472        225.047
          0              0     1220405844        37.1712        128.472        225.047
          0              0     1220405844        37.1712        128.472        225.084
          0              0     1220405845        37.1712        128.472        224.952
          0              0     1220405845        37.1712        128.472        224.834
          0              0     1220405846        37.1712        128.472        224.834
          0              0     1220405846        37.1712        128.472        224.834
          0              0     1220405846        37.1712        128.472        224.821
          0              0     1220405847        37.1712        128.472        224.821
          0              0     1220405847        37.1712        128.472        225.068
          0              0     1220405848        37.1712        128.472        225.467
          0              0     1220405848        37.1712        128.472        225.506
          0              0     1220405849        37.1712        128.472        225.498
          0              0     1220405849        37.1712        128.472        225.425
          0              0     1220405850        37.1712        128.472        225.425
          0              0     1220405850        37.1712        128.472        225.102
          0              0     1220405851        37.1712        128.472            225
          0              0     1220405851        37.1712        128.472        225.021
          0              0     1220405852        37.1712        128.472        225.054
          0              0     1220405852        37.1712        128.472        225.072
          0              0     1220405853        37.1712        128.472        225.072
          0              0     1220405853        37.1712        128.472        225.104
          0              0     1220405854        37.1712        128.472        225.104
          0              0     1220405854        37.1712        128.472          225.1
          0              0     1220405855        37.1712        128.472          225.1
          0              0     1220405856        37.1712        128.472        225.352
          0              0     1220405856        37.1712        128.472        225.352
          0              0     1220405856        37.1712        128.472        225.547
          0              0     1220405857        37.1712        128.472        225.547
